timestamp,x,y,z,qx,qy,qz,qw
000232,69.23117,-94.89768,6.532635,0.84161055,-0.012947921,-0.032621685,-0.5389433
000233,69.48618,-95.515495,6.590332,0.8427873,-0.0155749,-0.032197714,-0.537057
000234,70.00693,-96.3358,6.64347,0.84356624,-0.016398218,-0.031257797,-0.535864
000235,70.30266,-96.99151,6.689096,0.8447911,-0.015286581,-0.031142848,-0.5339705
000236,70.6287,-97.6818,6.763494,0.8460898,-0.01464763,-0.029196182,-0.5320386
000237,70.850105,-98.17239,6.808086,0.8468717,-0.016041763,-0.028192759,-0.53080714
000238,71.262184,-98.91833,6.8782005,0.847838,-0.016245244,-0.028174384,-0.529257
000239,71.51673,-99.46625,6.9037952,0.84865373,-0.017284289,-0.02900543,-0.52787
000240,71.760345,-99.98298,6.9651985,0.84903324,-0.014483693,-0.030091226,-0.52728295
000241,72.15701,-100.64081,7.0332174,0.8489888,-0.01459443,-0.029554756,-0.5273818
000242,72.47885,-101.21594,7.0969963,0.84945834,-0.014928275,-0.028936738,-0.52665013
000243,72.79919,-101.85439,7.1366405,0.8499644,-0.01343537,-0.029855696,-0.52582204
000244,73.037834,-102.47042,7.15123,0.8515542,-0.011065556,-0.032678917,-0.5231301
000245,73.31892,-103.01366,7.172255,0.8517867,-0.010280447,-0.034402635,-0.5226569
000246,73.58152,-103.526985,7.2280126,0.8524554,-0.007479386,-0.036265526,-0.52148706
000247,73.734604,-103.974754,7.2565293,0.85365105,-0.0070588705,-0.037116725,-0.51947325
000248,74.00974,-104.55126,7.3837523,0.8551762,-0.008686604,-0.03468426,-0.5171027
000249,74.329956,-105.130844,7.4202285,0.8562123,-0.008591662,-0.03496483,-0.5153679
000250,74.55568,-105.68038,7.4383845,0.85774696,-0.0075784926,-0.036084488,-0.5127481
000251,74.76342,-106.14032,7.482255,0.8589842,-0.0077658757,-0.03621098,-0.510661
000252,75.12034,-106.65979,7.4955983,0.8594876,-0.007929626,-0.037593286,-0.5097106
000253,75.30798,-107.11377,7.56732,0.86107695,-0.006434815,-0.038685873,-0.50696003
000254,75.453964,-107.57014,7.6298075,0.86310816,-0.009950861,-0.037858162,-0.50349987
000255,75.99648,-108.08732,7.662543,0.863306,-0.012927758,-0.039206862,-0.5029895
000256,76.00425,-108.5356,7.750969,0.866219,-0.016783023,-0.039389674,-0.4978267
000257,76.449005,-109.07417,7.7841406,0.86729604,-0.018706942,-0.041227657,-0.49572968
000258,76.58691,-109.45407,7.8508654,0.86948514,-0.021562867,-0.041630834,-0.4917291
000259,77.175934,-110.05181,7.8547864,0.86970294,-0.022484137,-0.041931577,-0.491277
000260,77.40626,-110.52849,7.9371705,0.8718348,-0.023983795,-0.038069587,-0.48772904
000261,77.71805,-111.062744,7.9852195,0.87377894,-0.025118496,-0.034386765,-0.4844554
000262,78.07382,-111.64482,8.040711,0.8762073,-0.026546458,-0.03013262,-0.48025838
000263,78.49484,-112.134415,8.083765,0.8771498,-0.026921205,-0.027619401,-0.47866544
000264,78.72977,-112.61191,8.139661,0.87991387,-0.02885046,-0.02670749,-0.47350392
000265,79.15057,-113.19475,8.199306,0.8811844,-0.030976476,-0.026723476,-0.4709994
000266,79.49857,-113.692406,8.257508,0.882569,-0.031738397,-0.027699366,-0.46829197
000267,80.08292,-114.32788,8.314095,0.8839658,-0.033602457,-0.027275566,-0.4655442
000268,80.405045,-114.873,8.359861,0.8859992,-0.034492876,-0.026844272,-0.4616222
000269,80.79423,-115.416756,8.402524,0.887843,-0.03666557,-0.025535256,-0.45797202
000270,81.374626,-115.998375,8.478246,0.8888773,-0.03710759,-0.023255756,-0.45604756
000271,81.74421,-116.575005,8.534725,0.8914314,-0.037034787,-0.022190383,-0.4510944
000272,82.18614,-117.1155,8.578089,0.8932482,-0.037320163,-0.022521865,-0.44744572
000273,82.72701,-117.69923,8.652392,0.8949827,-0.038652852,-0.021427177,-0.44390634
000274,83.2579,-118.28574,8.699149,0.89685374,-0.040346067,-0.020766595,-0.43999356
000275,83.66517,-118.8228,8.747424,0.89909035,-0.0413687,-0.020179084,-0.43533662
000276,84.171936,-119.47229,8.803991,0.90061927,-0.040596154,-0.019968955,-0.43224776
000277,84.719406,-120.06637,8.866109,0.90138525,-0.038905684,-0.020834742,-0.4307632
000278,85.192726,-120.65936,8.925692,0.90246624,-0.037008587,-0.021769319,-0.42861548
000279,85.77228,-121.32614,8.987256,0.9032989,-0.035171833,-0.022557156,-0.42697215
000280,86.26444,-122.01755,9.03225,0.9047876,-0.030653877,-0.024074016,-0.42407566
000281,86.76498,-122.62621,9.087344,0.90571356,-0.029407887,-0.023597714,-0.42221007
000282,87.29688,-123.369514,9.149955,0.90731966,-0.024974577,-0.024007453,-0.4190119
